EntrezA	EntrezB	Metabolite
100287639	2356	10fthf
4522	160428	10fthf
441024	160428	10fthf
4522	123263	10fthf
100287639	2618	10fthf
4522	10840	10fthf
25902	2356	10fthf
100287639	123263	10fthf
4522	2618	10fthf
286297	2618	10fthf
441024	2618	10fthf
10797	2356	10fthf
100287639	471	10fthf
441024	2356	10fthf
441024	123263	10fthf
441024	10840	10fthf
100287639	10840	10fthf
100287639	160428	10fthf
286297	123263	10fthf
286297	10840	10fthf
286297	2356	10fthf
4522	471	10fthf
4522	2356	10fthf
286297	471	10fthf
286297	160428	10fthf
441024	471	10fthf
3283	5243	11docrtsl
1589	5243	11docrtsl
3284	5243	11docrtsl
3283	1584	11docrtstrn
3284	1584	11docrtstrn
1589	5243	11docrtstrn
3284	1585	11docrtstrn
1589	1585	11docrtstrn
3283	5243	11docrtstrn
3284	5243	11docrtstrn
1589	1584	11docrtstrn
3283	1585	11docrtstrn
239	2879	12HPET
239	2876	12HPET
239	2880	12HPET
239	2882	12HPET
239	257202	12HPET
239	493869	12HPET
239	9588	12HPET
239	2878	12HPET
239	2877	12HPET
1244	6554	12dhchol
8714	28234	12dhchol
200931	10257	12dhchol
8647	200931	12dhchol
6555	1244	12dhchol
8647	123264	12dhchol
6554	10257	12dhchol
6554	8647	12dhchol
200931	8714	12dhchol
10257	6555	12dhchol
6555	10257	12dhchol
10599	10257	12dhchol
8647	6555	12dhchol
200931	8647	12dhchol
6554	8714	12dhchol
10599	8714	12dhchol
8647	10599	12dhchol
10257	28234	12dhchol
6555	8647	12dhchol
8647	28234	12dhchol
123264	8647	12dhchol
10257	6554	12dhchol
28234	8647	12dhchol
123264	10257	12dhchol
6554	1244	12dhchol
10257	123264	12dhchol
1244	10599	12dhchol
28234	1244	12dhchol
200931	1244	12dhchol
8714	200931	12dhchol
8647	6554	12dhchol
28234	10257	12dhchol
123264	1244	12dhchol
1244	28234	12dhchol
10257	200931	12dhchol
123264	8714	12dhchol
1244	200931	12dhchol
1244	6555	12dhchol
10599	8647	12dhchol
8714	10599	12dhchol
8714	6554	12dhchol
1244	123264	12dhchol
8714	123264	12dhchol
10599	1244	12dhchol
8714	6555	12dhchol
10257	10599	12dhchol
6555	8714	12dhchol
28234	8714	12dhchol
57016	128	12ppd_R
231	284273	12ppd_R
57016	125	12ppd_R
8574	126	12ppd_R
231	137872	12ppd_R
57016	284273	12ppd_R
8574	131	12ppd_R
57016	137872	12ppd_R
8574	125	12ppd_R
8574	130	12ppd_R
231	127	12ppd_R
231	131	12ppd_R
10327	125	12ppd_R
57016	127	12ppd_R
8574	137872	12ppd_R
231	125	12ppd_R
231	128	12ppd_R
57016	130	12ppd_R
57016	126	12ppd_R
231	130	12ppd_R
8574	128	12ppd_R
10327	126	12ppd_R
10327	127	12ppd_R
10327	130	12ppd_R
231	126	12ppd_R
10327	124	12ppd_R
10327	128	12ppd_R
10327	284273	12ppd_R
57016	131	12ppd_R
10327	131	12ppd_R
10327	137872	12ppd_R
8574	124	12ppd_R
8574	284273	12ppd_R
57016	124	12ppd_R
8574	127	12ppd_R
231	124	12ppd_R
8574	284273	12ppd_S
10327	131	12ppd_S
231	124	12ppd_S
10327	130	12ppd_S
10327	126	12ppd_S
231	284273	12ppd_S
10327	127	12ppd_S
8574	130	12ppd_S
10327	128	12ppd_S
231	125	12ppd_S
8574	128	12ppd_S
231	126	12ppd_S
8574	127	12ppd_S
231	137872	12ppd_S
8574	126	12ppd_S
10327	124	12ppd_S
231	127	12ppd_S
8574	137872	12ppd_S
10327	137872	12ppd_S
8574	131	12ppd_S
231	128	12ppd_S
231	131	12ppd_S
10327	125	12ppd_S
8574	124	12ppd_S
231	130	12ppd_S
10327	284273	12ppd_S
8574	125	12ppd_S
2944	54658	13_cis_retn
5230	98	13dpg
375056	669	13dpg
375056	5223	13dpg
375056	283209	13dpg
5230	669	13dpg
26330	283209	13dpg
5230	97	13dpg
26330	5223	13dpg
2597	97	13dpg
5232	5224	13dpg
26330	112611	13dpg
26330	5224	13dpg
26330	98	13dpg
5232	112611	13dpg
2597	669	13dpg
26330	669	13dpg
5232	97	13dpg
2597	5223	13dpg
5232	283209	13dpg
375056	97	13dpg
5232	98	13dpg
375056	98	13dpg
2597	283209	13dpg
5232	669	13dpg
375056	5224	13dpg
5230	112611	13dpg
5232	5223	13dpg
26330	97	13dpg
2597	5224	13dpg
375056	112611	13dpg
5230	5223	13dpg
5230	5224	13dpg
5230	283209	13dpg
2597	98	13dpg
2597	112611	13dpg
2879	239	15HPET
247	240	15HPET
2880	239	15HPET
2876	239	15HPET
493869	239	15HPET
246	239	15HPET
2878	239	15HPET
9588	239	15HPET
2882	239	15HPET
2877	239	15HPET
246	240	15HPET
257202	239	15HPET
247	239	15HPET
1583	1589	17ahprgnlone
1583	6820	17ahprgnlone
412	5243	17ahprgnlone
412	1586	17ahprgnlone
1583	3283	17ahprgnlone
412	1589	17ahprgnlone
1583	5243	17ahprgnlone
412	6820	17ahprgnlone
1583	3284	17ahprgnlone
412	3284	17ahprgnlone
412	3283	17ahprgnlone
1586	5243	17ahprgstrn
1586	1584	17ahprgstrn
3284	1586	17ahprgstrn
3283	1584	17ahprgstrn
3284	5243	17ahprgstrn
1586	1585	17ahprgstrn
3284	1584	17ahprgstrn
3283	5243	17ahprgstrn
3284	1585	17ahprgstrn
1586	1589	17ahprgstrn
3283	1585	17ahprgstrn
3283	1589	17ahprgstrn
3284	1589	17ahprgstrn
1591	285440	1a2425thvitd3
1591	51004	1a2425thvitd3
1591	1571	1a2425thvitd3
1559	7364	1hibup_S
1559	54659	1hibup_S
1559	54600	1hibup_S
4837	316	1mncam
29920	8659	1p3h5c
5831	8659	1p3h5c
58510	29920	1pyr5c
58510	65263	1pyr5c
5625	5831	1pyr5c
5625	8659	1pyr5c
58510	5831	1pyr5c
9023	3283	20ahchsterol
9023	3284	20ahchsterol
10606	158	25aics
1593	1591	25hvitd2
1593	1594	25hvitd2
8029	1594	25hvitd3
1593	1591	25hvitd3
2638	1594	25hvitd3
1593	1594	25hvitd3
4036	1594	25hvitd3
7173	6818	2amac
10455	30	2ddecdicoa
1632	10449	2ddecdicoa
1632	1892	2ddecdicoa
1632	3033	2ddecdicoa
10455	3295	2ddecdicoa
1632	1892	2decdicoa
10455	30	2decdicoa
10455	3295	2decdicoa
1632	3033	2decdicoa
1632	10449	2decdicoa
1632	3032	2docohexecoa
1632	37	2docohexecoa
1632	3030	2docohexecoa
1632	3032	2docopencoa
1632	3030	2docopencoa
10455	30	2docopencoa
10455	3295	2docopencoa
1632	10449	2dodtricoa
10455	3295	2dodtricoa
10455	30	2dodtricoa
1632	1892	2dodtricoa
1632	3033	2dodtricoa
10229	51805	2dpmhobq
1890	55276	2dr1p
151531	55276	2dr1p
4860	55276	2dr1p
64080	51071	2dr5p
55276	51071	2dr5p
1576	54657	2hatvacid
11309	5243	2hatvacid
1577	54657	2hatvacid
10599	1244	2hatvacid
1577	54659	2hatvacid
5446	5243	2hatvacid
5243	11309	2hatvacid
1244	11309	2hatvacid
5446	1244	2hatvacid
5243	10599	2hatvacid
1558	54657	2hatvacid
1558	54659	2hatvacid
1576	54659	2hatvacid
11309	1244	2hatvacid
10599	5243	2hatvacid
1244	10599	2hatvacid
1244	10599	2hatvlac
11309	1244	2hatvlac
1576	54659	2hatvlac
1576	54657	2hatvlac
1577	54659	2hatvlac
5243	11309	2hatvlac
10599	5243	2hatvlac
10599	5446	2hatvlac
10599	1244	2hatvlac
1244	11309	2hatvlac
1577	54657	2hatvlac
5243	10599	2hatvlac
11309	5243	2hatvlac
11309	5446	2hatvlac
9123	3945	2hb
9123	3939	2hb
9194	55293	2hb
9123	92483	2hb
9194	3945	2hb
6566	9123	2hb
6566	9194	2hb
9194	3948	2hb
9194	92483	2hb
9194	3939	2hb
9123	160287	2hb
9194	6566	2hb
9123	6566	2hb
9194	160287	2hb
9123	3948	2hb
9123	55293	2hb
1632	3030	2hexdtetcoa
10455	3295	2hexdtetcoa
10455	30	2hexdtetcoa
1632	3032	2hexdtetcoa
1632	3030	2hexdtricoa
10455	30	2hexdtricoa
10455	3295	2hexdtricoa
1632	3032	2hexdtricoa
1576	54600	2hibup_S
1558	54600	2hibup_S
1557	54600	2hibup_S
1559	54600	2hibup_S
1576	54659	2hibup_S
1557	54659	2hibup_S
1559	54659	2hibup_S
1559	7364	2hibup_S
1576	7364	2hibup_S
1558	7364	2hibup_S
1558	54659	2hibup_S
1557	7364	2hibup_S
3242	6566	2hyoxplac
1962	3032	2maacoa
1962	38	2maacoa
3028	3032	2maacoa
3028	10449	2maacoa
3033	10449	2maacoa
3033	38	2maacoa
3028	38	2maacoa
1962	10449	2maacoa
3033	3032	2maacoa
36	56922	2mb2coa
34	3030	2mb2coa
34	56922	2mb2coa
35	56922	2mb2coa
35	3030	2mb2coa
35	64087	2mb2coa
35	10249	2mb2coa
36	1892	2mb2coa
34	3032	2mb2coa
34	1892	2mb2coa
36	3032	2mb2coa
35	3032	2mb2coa
36	1622	2mb2coa
1622	126129	2mb2coa
36	64087	2mb2coa
36	10249	2mb2coa
34	1622	2mb2coa
1622	1374	2mb2coa
1622	1375	2mb2coa
34	10249	2mb2coa
36	3030	2mb2coa
35	1892	2mb2coa
35	1622	2mb2coa
34	64087	2mb2coa
1629	35	2mbcoa
594	36	2mbcoa
593	36	2mbcoa
1629	10249	2mbcoa
